id,name,deck,image,genres,site_detail_url,genre_names,genre_count,image_url
44,Star Wars: Yoda Stories,"In Yoda Stories, you assume the role of young Luke Skywalker, Jedi junior varsity and errand boy for Yoda.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/5/5/3/2215553-39287_50114_front.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/5/5/3/2215553-39287_50114_front.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/5/5/3/2215553-39287_50114_front.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/5/5/3/2215553-39287_50114_front.jpg'}","[{'name': 'Action'}, {'name': 'Adventure'}]",https://www.gamespot.com/star-wars-yoda-stories/,"['Action', 'Adventure']",2,
45,Unreal,"What gives Unreal an edge is how these differences, while not always positive, distinguish it from the legions of other 3D shooters.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/7/6/6/9/2217669-unreal_coverart.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/7/6/6/9/2217669-unreal_coverart.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/7/6/6/9/2217669-unreal_coverart.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/7/6/6/9/2217669-unreal_coverart.png'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/unreal/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
46,Hexen II,"Hexen II delivers a mighty blow, but ultimately fails to knock the king off his throne.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/6/9/6/2216696-63.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/6/9/6/2216696-63.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/6/9/6/2216696-63.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/6/9/6/2216696-63.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/hexen-ii/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
47,SiN,"Sin is for the first-person shooter fan who wants more of the same, done just a little different, but done right.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/9/8/1/2216981-39787_41380_front.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/9/8/1/2216981-39787_41380_front.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/9/8/1/2216981-39787_41380_front.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/9/8/1/2216981-39787_41380_front.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/sin/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
48,You Don't Know Jack: Movies,"In addition to creating a plethora of wacky questions pertaining to film, the producers have also given this version a movie motif.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/0/0/5/2209005-170890656_tp.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/0/0/5/2209005-170890656_tp.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/0/0/5/2209005-170890656_tp.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/0/0/5/2209005-170890656_tp.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/you-dont-know-jack-movies/,['Trivia/Board Game'],1,
49,3D Lemmings,"With addictive gameplay, numerous levels, and cute little rodents, 3D Lemmings is a must-buy.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/1/7/49-217.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/1/7/49-217.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/1/7/49-217.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/1/7/49-217.jpg'}","[{'name': 'Action'}, {'name': 'Puzzle'}]",https://www.gamespot.com/3d-lemmings/,"['Action', 'Puzzle']",2,
50,Flight Unlimited II,"It doesn't have the globe-spanning sweep of Microsoft Flight Simulator, but it renders its own little corner of the world with admirable fidelity.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/3/6/8/1/2213681-fu2_front.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/3/6/8/1/2213681-fu2_front.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/3/6/8/1/2213681-fu2_front.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/3/6/8/1/2213681-fu2_front.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/flight-unlimited-ii/,"['Flight', 'Simulation']",2,
51,F/A-18 Hornet 3.0,F/A-18 Hornet 3.0 continues the noble tradition of creating a great sim andforgetting to put a game inside of it.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/2/6/51-226.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/2/6/51-226.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/2/6/51-226.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/2/6/51-226.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/f-a-18-hornet-30/,"['Flight', 'Simulation']",2,
52,Tomb Raider II,Most of Tomb Raider II's improvements are cosmetic.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/8/8/3/6/2208836-box_traider2.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/8/8/3/6/2208836-box_traider2.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/8/8/3/6/2208836-box_traider2.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/8/8/3/6/2208836-box_traider2.png'}","[{'name': 'Action'}, {'name': 'Adventure'}]",https://www.gamespot.com/tomb-raider-ii/,"['Action', 'Adventure']",2,
53,Deathtrap Dungeon,If you didn't care for Tomb Raider's third-person perspective and camera angles then Deathtrap Dungeon will probably leave you cold.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/4/1/53-241.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/4/1/53-241.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/4/1/53-241.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/4/1/53-241.jpg'}","[{'name': 'Action'}, {'name': 'Adventure'}]",https://www.gamespot.com/deathtrap-dungeon/,"['Action', 'Adventure']",2,
54,Might and Magic VI: The Mandate of Heaven,Might and Magic VI is a classically designed role-playing game that features both a huge gaming world and lots of attention to detail.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/7/7/7/9/2217779-mm6_cover.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/7/7/7/9/2217779-mm6_cover.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/7/7/7/9/2217779-mm6_cover.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/7/7/7/9/2217779-mm6_cover.jpg'}",[{'name': 'Role-Playing'}],https://www.gamespot.com/might-and-magic-vi-the-mandate-of-heaven/,['Role-Playing'],1,
55,Croc: Legend of the Gobbos,Croc just didn't live up to its potential.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/3/5/9/4/2213594-croc_legend_of_the_gobbos.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/3/5/9/4/2213594-croc_legend_of_the_gobbos.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/3/5/9/4/2213594-croc_legend_of_the_gobbos.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/3/5/9/4/2213594-croc_legend_of_the_gobbos.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'Platformer'}]",https://www.gamespot.com/croc-legend-of-the-gobbos/,"['3D', 'Action', 'Platformer']",3,
56,Fighter Squadron: The Screamin' Demons over Europe,"Despite the lack of a full campaign, the physics models and top-notch AI make this one of the best dogfighting experiences yet.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/6/2/56-262.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/6/2/56-262.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/6/2/56-262.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/6/2/56-262.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/fighter-squadron-the-screamin-demons-over-europe/,"['Flight', 'Simulation']",2,
57,European Air War,"European Air War doesn't push the state of the art, but it excels at good, old-fashioned gameplay.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/3/4/2/5/2213425-eaw.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/3/4/2/5/2213425-eaw.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/3/4/2/5/2213425-eaw.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/3/4/2/5/2213425-eaw.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/european-air-war/,"['Flight', 'Simulation']",2,
58,MechCommander,"A beautiful-looking strategy game whose design flaws, few as they are, prevent it from achieving its rightful greatness even in spite of its many strengths.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/4/9/1/3/2214913-mechcommander_box_art.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/4/9/1/3/2214913-mechcommander_box_art.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/4/9/1/3/2214913-mechcommander_box_art.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/4/9/1/3/2214913-mechcommander_box_art.png'}",[{'name': 'Strategy'}],https://www.gamespot.com/mechcommander/,['Strategy'],1,
59,Sorry! (1998),"Hasbro Interactive has not only crafted a faithful representation of this ageless board game, but in so doing has included an array of extraordinary features that breathe new life into a time-honored favorite.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/6/5/59-265.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/6/5/59-265.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/6/5/59-265.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/6/5/59-265.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/sorry-1998/,['Trivia/Board Game'],1,
60,M1 Tank Platoon II,"M1 Tank Platoon II is still an extremely well-done and researched simulation, and is almost worthy of the name.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/6/6/60-266.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/6/6/60-266.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/6/6/60-266.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/6/6/60-266.jpg'}",[{'name': 'Simulation'}],https://www.gamespot.com/m1-tank-platoon-ii/,['Simulation'],1,
61,F-22 Air Dominance Fighter,Digital Image Design has crafted the latest and perhaps the most exacting reproduction of the USAF's all-new air supremacy/strike fighter.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/5/9/6/2216596-f_22_adf_splashscreen.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/5/9/6/2216596-f_22_adf_splashscreen.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/5/9/6/2216596-f_22_adf_splashscreen.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/5/9/6/2216596-f_22_adf_splashscreen.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/f-22-air-dominance-fighter/,"['Flight', 'Simulation']",2,
62,Boggle CDROM,"If you're going to have fun with this game, you've gotta get online.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/2/2/9/2209229-boggle_logo.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/2/2/9/2209229-boggle_logo.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/2/2/9/2209229-boggle_logo.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/2/2/9/2209229-boggle_logo.png'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/boggle-cdrom/,['Trivia/Board Game'],1,
63,Achtung! Spitfire,Achtung Spitfire is a wargamer's dream.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/7/2/63-272.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/7/2/63-272.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/7/2/63-272.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/7/2/63-272.jpg'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/achtung-spitfire/,"['Real-Time', 'Strategy']",2,
64,Half-Life,Half-Life is the closest thing to a revolutionary step the genre has ever taken.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/2/3/8/2210238-box_hl1.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/2/3/8/2210238-box_hl1.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/2/3/8/2210238-box_hl1.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/2/3/8/2210238-box_hl1.png'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/half-life/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
65,Wing Commander: Prophecy,"The new design team has shifted the emphasis from screenplay to gameplay, and the result is an engaging, but somewhat different, Wing Commander experience.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/2/1/8/2210218-wingcommanderprophecy.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/2/1/8/2210218-wingcommanderprophecy.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/2/1/8/2210218-wingcommanderprophecy.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/2/1/8/2210218-wingcommanderprophecy.jpg'}",[{'name': 'Simulation'}],https://www.gamespot.com/wing-commander-prophecy/,['Simulation'],1,
66,You Don't Know Jack: Television,You Don't Know Jack Television is the popular trivia game with TV themed questions.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/8/8/66-288.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/8/8/66-288.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/8/8/66-288.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/8/8/66-288.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/you-dont-know-jack-television/,['Trivia/Board Game'],1,
67,Total Annihilation,Cavedog has done a commendable job of taking the basic mechanics of real-time strategy and using them to create something new.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/5/3/5/2210535-ta_box.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/5/3/5/2210535-ta_box.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/5/3/5/2210535-ta_box.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/5/3/5/2210535-ta_box.jpg'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/total-annihilation/,"['Real-Time', 'Strategy']",2,
68,Close Combat: A Bridge Too Far,Atomic Games has managed to create the ideal sequel: It expands and adds many features while keeping everything that made the first game a joy to play.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/5/4/0/2216540-cc2.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/5/4/0/2216540-cc2.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/5/4/0/2216540-cc2.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/5/4/0/2216540-cc2.jpg'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/close-combat-a-bridge-too-far/,"['Real-Time', 'Strategy']",2,
69,Quest For Glory V: Dragon Fire,"Quest for Glory V has a few quirks and problems that will try your patience, but series fans will want to play this game to see old friends and follow Hero's last adventure.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/4/7/8/0/2214780-qfg5boxart_2.gif', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/4/7/8/0/2214780-qfg5boxart_2.gif', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/4/7/8/0/2214780-qfg5boxart_2.gif', 'original': 'https://www.gamespot.com/a/uploads/original/mig/4/7/8/0/2214780-qfg5boxart_2.gif'}",[{'name': 'Role-Playing'}],https://www.gamespot.com/quest-for-glory-v-dragon-fire/,['Role-Playing'],1,
70,Zork: Grand Inquisitor,"Grand Inquisitor is the best graphical Zork yet, and one of the most consistently entertaining adventures of the year.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/9/8/70-298.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/9/8/70-298.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/9/8/70-298.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/9/8/70-298.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/zork-grand-inquisitor/,['Adventure'],1,
71,Oddworld: Abe's Oddysee,Abe's Oddysee balances its action and puzzle elements perfectly.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/1/4/1/7/2211417-abe.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/1/4/1/7/2211417-abe.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/1/4/1/7/2211417-abe.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/1/4/1/7/2211417-abe.png'}","[{'name': '2D'}, {'name': 'Action'}, {'name': 'Platformer'}]",https://www.gamespot.com/oddworld-abes-oddysee/,"['2D', 'Action', 'Platformer']",3,
72,Entertainment Pack: The Puzzle Collection,"If Microsoft and Pajitnov want to make us forget about Tetris, they're going to have to do a lot better than this.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/1/3/72-313.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/1/3/72-313.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/1/3/72-313.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/1/3/72-313.jpg'}",[{'name': 'Action'}],https://www.gamespot.com/entertainment-pack-the-puzzle-collection/,['Action'],1,
73,Defiance (1997),"Although this is not a terrible game, there's nothing here that would merit someone to really consider buying it when there are so many other 3D games of such a higher caliber.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/1/4/73-314.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/1/4/73-314.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/1/4/73-314.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/1/4/73-314.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/defiance-1997/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
74,Microsoft Flight Simulator 98,Microsoft has proven itself fighting fit with a thorough retooling of the classic.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/8/2/6/4/2218264-fs985.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/8/2/6/4/2218264-fs985.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/8/2/6/4/2218264-fs985.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/8/2/6/4/2218264-fs985.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/microsoft-flight-simulator-98/,"['Flight', 'Simulation']",2,
75,688(I) Hunter/Killer,"At last, the long wait for a worthy nuclear submarine simulation is over.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/1/6/75-316.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/1/6/75-316.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/1/6/75-316.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/1/6/75-316.jpg'}",[{'name': 'Simulation'}],https://www.gamespot.com/688i-hunter-killer/,['Simulation'],1,
76,The Incredible Machine 3,,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/1/8/76-318.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/1/8/76-318.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/1/8/76-318.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/1/8/76-318.jpg'}",[{'name': 'Puzzle'}],https://www.gamespot.com/the-incredible-machine-3/,['Puzzle'],1,
77,WarGames,WarGames is a decent real-time strategy game in the Command & Conquer vein.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/9/1/7/2225917-wargamesboxart.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/9/1/7/2225917-wargamesboxart.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/9/1/7/2225917-wargamesboxart.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/9/1/7/2225917-wargamesboxart.jpg'}",[{'name': 'Strategy'}],https://www.gamespot.com/wargames/,['Strategy'],1,
78,Lords of Magic,"It promised to combine the captivating gameplay of Heroes of Might & Magic II with the style of Lord of the Realm II and an eye-popping graphics engine. Unfortunately, LOM falls far short of its potential.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/5/7/8/2210578-lords_of_magic_a.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/5/7/8/2210578-lords_of_magic_a.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/5/7/8/2210578-lords_of_magic_a.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/5/7/8/2210578-lords_of_magic_a.jpg'}",[{'name': 'Strategy'}],https://www.gamespot.com/lords-of-magic/,['Strategy'],1,
79,Jetfighter: Full Burn,Mission Studios has essentially taken the Jetfighter III engine and wrapped it all in a cinematic narrative that would have shamed Digital Pictures.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/1/1/8/2215118-jet.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/1/1/8/2215118-jet.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/1/1/8/2215118-jet.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/1/1/8/2215118-jet.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/jetfighter-full-burn/,"['Flight', 'Simulation']",2,
81,Chessmaster 5500,The worst thing you can say about Chessmaster 5500 is that you might not want to spend the bucks on it if you already own Chessmaster 5000.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/4/2/3/4/2224234-1.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/4/2/3/4/2224234-1.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/4/2/3/4/2224234-1.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/4/2/3/4/2224234-1.jpg'}",[{'name': 'Trivia/Board Game'}],https://www.gamespot.com/chessmaster-5500/,['Trivia/Board Game'],1,
82,F/A-18 Korea,F/A-18 Korea is an exacting portrayal of the twin-engine F/A-18C/D Hornet dual-purpose fighter.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/2/8/82-328.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/2/8/82-328.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/2/8/82-328.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/2/8/82-328.jpg'}","[{'name': 'Flight'}, {'name': 'Simulation'}]",https://www.gamespot.com/f-a-18-korea/,"['Flight', 'Simulation']",2,
83,Worms 2,The simple rules and basic control structure make it a game that anyone can learn to play in about five minutes.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/3/9/4/3/2213943-worms_2_front.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/3/9/4/3/2213943-worms_2_front.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/3/9/4/3/2213943-worms_2_front.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/3/9/4/3/2213943-worms_2_front.jpg'}","[{'name': 'Strategy'}, {'name': 'Turn-Based'}]",https://www.gamespot.com/worms-2/,"['Strategy', 'Turn-Based']",2,
84,Frogger (1997),Frogger is an enjoyable title.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/3/1/84-331.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/3/1/84-331.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/3/1/84-331.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/3/1/84-331.jpg'}","[{'name': 'Action'}, {'name': 'Arcade'}]",https://www.gamespot.com/frogger-1997/,"['Action', 'Arcade']",2,
85,Shanghai: Dynasty,"Shanghai: Dynasty may be the most ambitious of the computerized translations, integrating a wide array of significant enhancements into an already entertaining system","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/6/9/5/2210695-pc.png', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/6/9/5/2210695-pc.png', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/6/9/5/2210695-pc.png', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/6/9/5/2210695-pc.png'}",[{'name': 'Puzzle'}],https://www.gamespot.com/shanghai-dynasty/,['Puzzle'],1,
86,Uprising: Join or Die,"Played from a first-person perspective, this frenetic game is unlike anything else in its genre.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/3/4/4/86-344.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/3/4/4/86-344.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/3/4/4/86-344.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/3/4/4/86-344.jpg'}",[{'name': 'Simulation'}],https://www.gamespot.com/uprising-join-or-die/,['Simulation'],1,
